byte_hex,unicode_hex,status
00,0000,mapped
01,0001,mapped
02,0002,mapped
03,0003,mapped
04,0004,mapped
05,0005,mapped
06,0006,mapped
07,0007,mapped
08,0008,mapped
09,0009,mapped
0A,000A,mapped
0B,000B,mapped
0C,000C,mapped
0D,000D,mapped
0E,000E,mapped
0F,000F,mapped
10,0010,mapped
11,0011,mapped
12,0012,mapped
13,0013,mapped
14,0014,mapped
15,0015,mapped
16,0016,mapped
17,0017,mapped
18,0018,mapped
19,0019,mapped
1A,001A,mapped
1B,001B,mapped
1C,001C,mapped
1D,001D,mapped
1E,001E,mapped
1F,001F,mapped
20,0020,mapped
21,0021,mapped
22,0022,mapped
23,0023,mapped
24,0024,mapped
25,0025,mapped
26,0026,mapped
27,0027,mapped
28,0028,mapped
29,0029,mapped
2A,002A,mapped
2B,002B,mapped
2C,002C,mapped
2D,002D,mapped
2E,002E,mapped
2F,002F,mapped
30,0030,mapped
31,0031,mapped
32,0032,mapped
33,0033,mapped
34,0034,mapped
35,0035,mapped
36,0036,mapped
37,0037,mapped
38,0038,mapped
39,0039,mapped
3A,003A,mapped
3B,003B,mapped
3C,003C,mapped
3D,003D,mapped
3E,003E,mapped
3F,003F,mapped
40,0040,mapped
41,0041,mapped
42,0042,mapped
43,0043,mapped
44,0044,mapped
45,0045,mapped
46,0046,mapped
47,0047,mapped
48,0048,mapped
49,0049,mapped
4A,004A,mapped
4B,004B,mapped
4C,004C,mapped
4D,004D,mapped
4E,004E,mapped
4F,004F,mapped
50,0050,mapped
51,0051,mapped
52,0052,mapped
53,0053,mapped
54,0054,mapped
55,0055,mapped
56,0056,mapped
57,0057,mapped
58,0058,mapped
59,0059,mapped
5A,005A,mapped
5B,005B,mapped
5C,005C,mapped
5D,005D,mapped
5E,005E,mapped
5F,005F,mapped
60,0060,mapped
61,0061,mapped
62,0062,mapped
63,0063,mapped
64,0064,mapped
65,0065,mapped
66,0066,mapped
67,0067,mapped
68,0068,mapped
69,0069,mapped
6A,006A,mapped
6B,006B,mapped
6C,006C,mapped
6D,006D,mapped
6E,006E,mapped
6F,006F,mapped
70,0070,mapped
71,0071,mapped
72,0072,mapped
73,0073,mapped
74,0074,mapped
75,0075,mapped
76,0076,mapped
77,0077,mapped
78,0078,mapped
79,0079,mapped
7A,007A,mapped
7B,007B,mapped
7C,007C,mapped
7D,007D,mapped
7E,007E,mapped
7F,007F,mapped
80,,undefined
81,,undefined
82,,undefined
83,,undefined
84,,undefined
85,,undefined
86,,undefined
87,,undefined
88,,undefined
89,,undefined
8A,,undefined
8B,,undefined
8C,,undefined
8D,,undefined
8E,,undefined
8F,,undefined
90,,undefined
91,,undefined
92,,undefined
93,,undefined
94,,undefined
95,,undefined
96,,undefined
97,,undefined
98,,undefined
99,,undefined
9A,,undefined
9B,,undefined
9C,,undefined
9D,,undefined
9E,,undefined
9F,,undefined
A0,00A0,mapped
A1,00C0,mapped
A2,00C1,mapped
A3,00C2,mapped
A4,00C3,mapped
A5,00C4,mapped
A6,00C7,mapped
A7,00C8,mapped
A8,00C9,mapped
A9,00CA,mapped
AA,00CB,mapped
AB,00CC,mapped
AC,00CD,mapped
AD,00CE,mapped
AE,00CF,mapped
AF,00D1,mapped
B0,00D2,mapped
B1,00D3,mapped
B2,00D4,mapped
B3,00D5,mapped
B4,00D6,mapped
B5,0152,mapped
B6,00D9,mapped
B7,00DA,mapped
B8,00DB,mapped
B9,00DC,mapped
BA,0178,mapped
BB,00A8,mapped
BC,00A3,mapped
BD,00A6,mapped
BE,00A7,mapped
BF,00B0,mapped
C0,00A1,mapped
C1,00E0,mapped
C2,00E1,mapped
C3,00E2,mapped
C4,00E3,mapped
C5,00E4,mapped
C6,00E7,mapped
C7,00E8,mapped
C8,00E9,mapped
C9,00EA,mapped
CA,00EB,mapped
CB,00EC,mapped
CC,00ED,mapped
CD,00EE,mapped
CE,00EF,mapped
CF,00F1,mapped
D0,00F2,mapped
D1,00F3,mapped
D2,00F4,mapped
D3,00F5,mapped
D4,00F6,mapped
D5,0153,mapped
D6,00F9,mapped
D7,00FA,mapped
D8,00FB,mapped
D9,00FC,mapped
DA,00FF,mapped
DB,00DF,mapped
DC,00AA,mapped
DD,00BA,mapped
DE,00BF,mapped
DF,00B1,mapped
E0,,undefined
E1,,undefined
E2,,undefined
E3,,undefined
E4,,undefined
E5,,undefined
E6,,undefined
E7,,undefined
E8,,undefined
E9,,undefined
EA,,undefined
EB,,undefined
EC,,undefined
ED,,undefined
EE,,undefined
EF,,undefined
F0,,undefined
F1,,undefined
F2,,undefined
F3,,undefined
F4,,undefined
F5,,undefined
F6,,undefined
F7,,undefined
F8,,undefined
F9,,undefined
FA,,undefined
FB,,undefined
FC,,undefined
FD,,undefined
FE,,undefined
FF,,undefined
