concise_octal,friden_octal,lower_unicode,upper_unicode,kind,source_label
00,020,U+0020,U+0020,graphic,space
01,001,U+0031,U+0027,graphic,one_single_quote
02,002,U+0032,U+0040,graphic,two_at
03,023,U+0033,U+0023,graphic,three_number_sign
04,004,U+0034,U+003D,graphic,four_equals
05,025,U+0035,U+0025,graphic,five_percent
06,026,U+0036,U+00A2,graphic,six_cent
07,007,U+0037,U+003F,graphic,seven_question
10,010,U+0038,U+002A,graphic,eight_asterisk
11,031,U+0039,U+0028,graphic,nine_left_parenthesis
20,040,U+0030,U+0029,graphic,zero_right_parenthesis
21,061,U+002F,U+003A,graphic,slash_colon
22,062,U+0073,U+0053,graphic,s
23,043,U+0074,U+0054,graphic,t
24,064,U+0075,U+0055,graphic,u
25,045,U+0076,U+0056,graphic,v
26,046,U+0077,U+0057,graphic,w
27,067,U+0078,U+0058,graphic,x
30,070,U+0079,U+0059,graphic,y
31,051,U+007A,U+005A,graphic,z
33,073,U+002C,U+002C,graphic,comma
36,076,U+0009,U+0009,control,tab
40,100,U+002D,U+0022,graphic,hyphen_double_quote
41,121,U+006A,U+004A,graphic,j
42,122,U+006B,U+004B,graphic,k
43,103,U+006C,U+004C,graphic,l
44,124,U+006D,U+004D,graphic,m
45,105,U+006E,U+004E,graphic,n
46,106,U+006F,U+004F,graphic,o
47,127,U+0070,U+0050,graphic,p
50,130,U+0071,U+0051,graphic,q
51,111,U+0072,U+0052,graphic,r
53,133,U+0024,U+002D,graphic,dollar_hyphen
60,160,U+0026,U+003B,graphic,ampersand_semicolon
61,141,U+0061,U+0041,graphic,a
62,142,U+0062,U+0042,graphic,b
63,163,U+0063,U+0043,graphic,c
64,144,U+0064,U+0044,graphic,d
65,165,U+0065,U+0045,graphic,e
66,166,U+0066,U+0046,graphic,f
67,147,U+0067,U+0047,graphic,g
70,150,U+0068,U+0048,graphic,h
71,171,U+0069,U+0049,graphic,i
72,172,,,shift_lower,lower_case
73,153,U+002E,U+002E,graphic,period
74,174,,,shift_upper,upper_case
77,200,U+000D,U+000D,control,carriage_return
,177,,,tape_feed,tape_feed
