concise_octal,fiodec_octal,lower_unicode,upper_unicode,kind,source_label
00,200,U+0020,U+0020,graphic,space
01,001,U+0031,U+0022,graphic,one_double_quote
02,002,U+0032,U+0027,graphic,two_single_quote
03,203,U+0033,U+007E,graphic,three_not_tilde
04,004,U+0034,U+2283,graphic,four_implies_horseshoe
05,205,U+0035,U+2228,graphic,five_or
06,206,U+0036,U+2227,graphic,six_and
07,007,U+0037,U+003C,graphic,seven_less_than
10,010,U+0038,U+003E,graphic,eight_greater_than
11,211,U+0039,U+2191,graphic,nine_up_arrow
20,020,U+0030,U+2192,graphic,zero_right_arrow
21,221,U+002F,U+003F,graphic,slash_question
22,222,U+0073,U+0053,graphic,s
23,023,U+0074,U+0054,graphic,t
24,224,U+0075,U+0055,graphic,u
25,025,U+0076,U+0056,graphic,v
26,026,U+0077,U+0057,graphic,w
27,227,U+0078,U+0058,graphic,x
30,230,U+0079,U+0059,graphic,y
31,031,U+007A,U+005A,graphic,z
33,233,U+002C,U+003D,graphic,comma_equals
34,,,,ribbon_black,black
35,,,,ribbon_red,red
36,236,U+0009,U+0009,control,tab
40,040,U+00B7,U+005F,graphic,middle_dot_underline
41,241,U+006A,U+004A,graphic,j
42,242,U+006B,U+004B,graphic,k
43,043,U+006C,U+004C,graphic,l
44,244,U+006D,U+004D,graphic,m
45,045,U+006E,U+004E,graphic,n
46,046,U+006F,U+004F,graphic,o
47,247,U+0070,U+0050,graphic,p
50,250,U+0071,U+0051,graphic,q
51,051,U+0072,U+0052,graphic,r
54,054,U+002D,U+002B,graphic,minus_plus
55,255,U+0029,U+005D,graphic,right_parenthesis_right_bracket
56,256,U+0305,U+007C,graphic,nonspacing_overline_vertical
57,057,U+0028,U+005B,graphic,left_parenthesis_left_bracket
61,061,U+0061,U+0041,graphic,a
62,062,U+0062,U+0042,graphic,b
63,263,U+0063,U+0043,graphic,c
64,064,U+0064,U+0044,graphic,d
65,265,U+0065,U+0045,graphic,e
66,266,U+0066,U+0046,graphic,f
67,067,U+0067,U+0047,graphic,g
70,070,U+0068,U+0048,graphic,h
71,271,U+0069,U+0049,graphic,i
72,272,,,shift_lower,lower_case
73,073,U+002E,U+00D7,graphic,period_multiply
74,274,,,shift_upper,upper_case
75,075,U+0008,U+0008,control,backspace
77,277,U+000D,U+000D,control,carriage_return
,000,,,tape_feed,tape_feed
,013,,,stop,stop_code
,100,,,delete,delete
