octal,input_unicode,output_unicode,lossless_vpua,raw_vpua,manual_disposition
00,U+F4000,IGNORED,U+F4000,U+F4000,master_space_key_output_ignored
01,U+005B,U+005B,U+005B,U+F4001,graphic
02,U+005D,U+005D,U+005D,U+F4002,graphic
03,U+0085,U+0085,U+0085,U+F4003,new_line_input_combined_cr_lf_output
04,UNAVAILABLE,IGNORED,U+F4004,U+F4004,input_unavailable_output_ignored
05,U+0020,U+0020,U+0020,U+F4005,space
06,U+0041,U+0041,U+0041,U+F4006,graphic
07,U+0042,U+0042,U+0042,U+F4007,graphic
10,U+0043,U+0043,U+0043,U+F4008,graphic
11,U+0044,U+0044,U+0044,U+F4009,graphic
12,U+0045,U+0045,U+0045,U+F400A,graphic
13,U+0046,U+0046,U+0046,U+F400B,graphic
14,U+0047,U+0047,U+0047,U+F400C,graphic
15,U+0048,U+0048,U+0048,U+F400D,graphic
16,U+0049,U+0049,U+0049,U+F400E,graphic
17,U+004A,U+004A,U+004A,U+F400F,graphic
20,U+004B,U+004B,U+004B,U+F4010,graphic
21,U+004C,U+004C,U+004C,U+F4011,graphic
22,U+004D,U+004D,U+004D,U+F4012,graphic
23,U+004E,U+004E,U+004E,U+F4013,graphic
24,U+004F,U+004F,U+004F,U+F4014,graphic
25,U+0050,U+0050,U+0050,U+F4015,graphic
26,U+0051,U+0051,U+0051,U+F4016,graphic
27,U+0052,U+0052,U+0052,U+F4017,graphic
30,U+0053,U+0053,U+0053,U+F4018,graphic
31,U+0054,U+0054,U+0054,U+F4019,graphic
32,U+0055,U+0055,U+0055,U+F401A,graphic
33,U+0056,U+0056,U+0056,U+F401B,graphic
34,U+0057,U+0057,U+0057,U+F401C,graphic
35,U+0058,U+0058,U+0058,U+F401D,graphic
36,U+0059,U+0059,U+0059,U+F401E,graphic
37,U+005A,U+005A,U+005A,U+F401F,graphic
40,U+0029,U+0029,U+0029,U+F4020,graphic
41,U+002D,U+002D,U+002D,U+F4021,graphic
42,U+002B,U+002B,U+002B,U+F4022,graphic
43,U+003C,U+003C,U+003C,U+F4023,graphic
44,U+003D,U+003D,U+003D,U+F4024,graphic
45,U+003E,U+003E,U+003E,U+F4025,graphic
46,U+005F,U+005F,U+005F,U+F4026,underscore_no_overstrike
47,U+0024,U+0024,U+0024,U+F4027,graphic
50,U+002A,U+002A,U+002A,U+F4028,graphic
51,U+0028,U+0028,U+0028,U+F4029,graphic
52,U+0022,U+0022,U+0022,U+F402A,graphic
53,U+003A,U+003A,U+003A,U+F402B,graphic
54,U+003F,U+003F,U+003F,U+F402C,graphic
55,U+0021,U+0021,U+0021,U+F402D,graphic
56,U+002C,U+002C,U+002C,U+F402E,graphic
57,U+F402F,U+F402F,U+F402F,U+F402F,proprietary_diamond_enclosed_wave_glyph
60,U+0030,U+0030,U+0030,U+F4030,graphic
61,U+0031,U+0031,U+0031,U+F4031,graphic
62,U+0032,U+0032,U+0032,U+F4032,graphic
63,U+0033,U+0033,U+0033,U+F4033,graphic
64,U+0034,U+0034,U+0034,U+F4034,graphic
65,U+0035,U+0035,U+0035,U+F4035,graphic
66,U+0036,U+0036,U+0036,U+F4036,graphic
67,U+0037,U+0037,U+0037,U+F4037,graphic
70,U+0038,U+0038,U+0038,U+F4038,graphic
71,U+0039,U+0039,U+0039,U+F4039,graphic
72,U+0027,U+0027,U+0027,U+F403A,graphic
73,U+003B,U+003B,U+003B,U+F403B,graphic
74,U+002F,U+002F,U+002F,U+F403C,graphic
75,U+002E,U+002E,U+002E,U+F403D,graphic
76,U+2311,U+2311,U+2311,U+F403E,square_lozenge
77,U+2191,U+2191,U+2191,U+F403F,up_arrow
