hex,zone_bits,xs3_bits,source_glyph,semantic,lossless_vpua,raw_vpua,status
00,00,0000,PI,IGNORED,U+F4040,U+F4080,assigned
01,00,0001,SPACE,U+0020,U+0020,U+F4081,assigned
02,00,0010,HYPHEN,U+002D,U+002D,U+F4082,assigned
03,00,0011,DIGIT ZERO,U+0030,U+0030,U+F4083,assigned
04,00,0100,DIGIT ONE,U+0031,U+0031,U+F4084,assigned
05,00,0101,DIGIT TWO,U+0032,U+0032,U+F4085,assigned
06,00,0110,DIGIT THREE,U+0033,U+0033,U+F4086,assigned
07,00,0111,DIGIT FOUR,U+0034,U+0034,U+F4087,assigned
08,00,1000,DIGIT FIVE,U+0035,U+0035,U+F4088,assigned
09,00,1001,DIGIT SIX,U+0036,U+0036,U+F4089,assigned
0A,00,1010,DIGIT SEVEN,U+0037,U+0037,U+F408A,assigned
0B,00,1011,DIGIT EIGHT,U+0038,U+0038,U+F408B,assigned
0C,00,1100,DIGIT NINE,U+0039,U+0039,U+F408C,assigned
0D,00,1101,APOSTROPHE,U+0027,U+0027,U+F408D,assigned
0E,00,1110,AMPERSAND,U+0026,U+0026,U+F408E,assigned
0F,00,1111,LEFT PARENTHESIS,U+0028,U+0028,U+F408F,assigned
10,01,0000,CR,U+000D,U+000D,U+F4090,assigned
11,01,0001,COMMA,U+002C,U+002C,U+F4091,assigned
12,01,0010,FULL STOP,U+002E,U+002E,U+F4092,assigned
13,01,0011,SEMICOLON,U+003B,U+003B,U+F4093,assigned
14,01,0100,LATIN CAPITAL A,U+0041,U+0041,U+F4094,assigned
15,01,0101,LATIN CAPITAL B,U+0042,U+0042,U+F4095,assigned
16,01,0110,LATIN CAPITAL C,U+0043,U+0043,U+F4096,assigned
17,01,0111,LATIN CAPITAL D,U+0044,U+0044,U+F4097,assigned
18,01,1000,LATIN CAPITAL E,U+0045,U+0045,U+F4098,assigned
19,01,1001,LATIN CAPITAL F,U+0046,U+0046,U+F4099,assigned
1A,01,1010,LATIN CAPITAL G,U+0047,U+0047,U+F409A,assigned
1B,01,1011,LATIN CAPITAL H,U+0048,U+0048,U+F409B,assigned
1C,01,1100,LATIN CAPITAL I,U+0049,U+0049,U+F409C,assigned
1D,01,1101,NUMBER SIGN,U+0023,U+0023,U+F409D,assigned
1E,01,1110,CENT SIGN,U+00A2,U+00A2,U+F409E,assigned
1F,01,1111,COMMERCIAL AT,U+0040,U+0040,U+F409F,assigned
20,10,0000,HT,U+0009,U+0009,U+F40A0,assigned
21,10,0001,QUOTATION MARK,U+0022,U+0022,U+F40A1,assigned
22,10,0010,VERTICAL LINE,U+007C,U+007C,U+F40A2,assigned
23,10,0011,RIGHT PARENTHESIS,U+0029,U+0029,U+F40A3,assigned
24,10,0100,LATIN CAPITAL J,U+004A,U+004A,U+F40A4,assigned
25,10,0101,LATIN CAPITAL K,U+004B,U+004B,U+F40A5,assigned
26,10,0110,LATIN CAPITAL L,U+004C,U+004C,U+F40A6,assigned
27,10,0111,LATIN CAPITAL M,U+004D,U+004D,U+F40A7,assigned
28,10,1000,LATIN CAPITAL N,U+004E,U+004E,U+F40A8,assigned
29,10,1001,LATIN CAPITAL O,U+004F,U+004F,U+F40A9,assigned
2A,10,1010,LATIN CAPITAL P,U+0050,U+0050,U+F40AA,assigned
2B,10,1011,LATIN CAPITAL Q,U+0051,U+0051,U+F40AB,assigned
2C,10,1100,LATIN CAPITAL R,U+0052,U+0052,U+F40AC,assigned
2D,10,1101,DOLLAR SIGN,U+0024,U+0024,U+F40AD,assigned
2E,10,1110,ASTERISK,U+002A,U+002A,U+F40AE,assigned
2F,10,1111,QUESTION MARK,U+003F,U+003F,U+F40AF,assigned
30,11,0000,GREEK CAPITAL SIGMA,U+03A3,U+03A3,U+F40B0,assigned
31,11,0001,GREEK SMALL BETA,U+03B2,U+03B2,U+F40B1,assigned
32,11,0010,COLON,U+003A,U+003A,U+F40B2,assigned
33,11,0011,PLUS SIGN,U+002B,U+002B,U+F40B3,assigned
34,11,0100,SOLIDUS,U+002F,U+002F,U+F40B4,assigned
35,11,0101,LATIN CAPITAL S,U+0053,U+0053,U+F40B5,assigned
36,11,0110,LATIN CAPITAL T,U+0054,U+0054,U+F40B6,assigned
37,11,0111,LATIN CAPITAL U,U+0055,U+0055,U+F40B7,assigned
38,11,1000,LATIN CAPITAL V,U+0056,U+0056,U+F40B8,assigned
39,11,1001,LATIN CAPITAL W,U+0057,U+0057,U+F40B9,assigned
3A,11,1010,LATIN CAPITAL X,U+0058,U+0058,U+F40BA,assigned
3B,11,1011,LATIN CAPITAL Y,U+0059,U+0059,U+F40BB,assigned
3C,11,1100,LATIN CAPITAL Z,U+005A,U+005A,U+F40BC,assigned
3D,11,1101,PERCENT SIGN,U+0025,U+0025,U+F40BD,assigned
3E,11,1110,EQUALS SIGN,U+003D,U+003D,U+F40BE,assigned
3F,11,1111,NOT USED,UNAVAILABLE,UNAVAILABLE,U+F40BF,unused
